mean_test_score,std_test_score,rank_test_score,lgbm__bagging_fraction,lgbm__bagging_freq,lgbm__feature_fraction,lgbm__learning_rate,lgbm__max_depth,lgbm__min_child_samples,lgbm__n_estimators,lgbm__num_leaves,lgbm__verbose,pca__n_components
0.9370578069647415,0.006938089592201814,117,0.8,10,1.0,0.2,-1,10,150,80,-1,10
0.9370178081998984,0.0070672527170281335,118,0.8,10,1.0,0.2,10,10,150,80,-1,10
0.9370086838271359,0.00498145349782378,119,0.8,5,1.0,0.2,20,5,150,31,-1,10
0.9369068257323315,0.008746829289956397,120,0.8,5,1.0,0.1,10,10,150,80,-1,10
0.9366943783707355,0.007242440550847849,121,0.8,10,1.0,0.1,10,10,150,31,-1,10
0.9366718921354792,0.007670497712792576,122,0.8,5,1.0,0.2,-1,5,150,50,-1,10
0.9366238070712205,0.008107486146538232,123,0.8,5,0.8,0.2,20,10,200,80,-1,10
0.9365724466208787,0.00786856782944579,124,0.8,10,1.0,0.2,10,10,150,50,-1,10
0.9364790998826568,0.007401670112713294,125,1.0,5,0.8,0.2,20,5,150,80,-1,10
0.9364213839580641,0.005305872978942619,126,0.8,5,0.8,0.2,20,10,150,31,-1,20
0.9363940657876505,0.006600680231515142,127,0.8,5,1.0,0.1,-1,10,150,50,-1,10
0.9362670380234764,0.005070286794347482,128,1.0,5,0.8,0.2,-1,5,150,31,-1,10
0.9362670380234764,0.005070286794347482,128,1.0,5,0.8,0.2,-1,5,150,50,-1,10
0.9361878336112266,0.0037121455542002404,130,0.8,5,1.0,0.1,10,5,150,50,-1,10
0.9361250515758147,0.006359467144117722,131,0.8,10,1.0,0.2,-1,10,150,31,-1,10
0.9360222434269602,0.00699960755577987,132,1.0,10,0.8,0.2,-1,5,150,50,-1,10
0.9360218022707485,0.005805986305131144,133,0.8,10,0.8,0.1,10,10,150,31,-1,10
0.9359698128736957,0.003330567233503504,134,0.8,5,1.0,0.2,10,10,200,50,-1,10
0.9359514572703077,0.0066404719009459275,135,0.8,5,1.0,0.2,10,10,200,80,-1,10
0.9358506777185852,0.008022516402134871,136,0.8,5,1.0,0.1,10,5,150,31,-1,10
0.9357870904004072,0.008172728000182875,137,1.0,10,0.8,0.2,10,10,200,31,-1,10
0.9357570377949596,0.006710443846519191,138,1.0,10,0.8,0.2,20,5,200,50,-1,10
0.9357476486775609,0.006434216085686068,139,0.8,10,0.8,0.1,20,10,150,31,-1,10
0.9356490517472732,0.005117382026979852,140,0.8,5,1.0,0.2,-1,5,150,80,-1,10
0.9356453464483385,0.00512011901092909,141,0.8,5,0.8,0.2,-1,10,200,50,-1,10
0.9356453464483385,0.00512011901092909,141,0.8,5,0.8,0.2,-1,10,200,80,-1,10
0.9356339292732873,0.006493240115595841,143,1.0,10,0.8,0.2,-1,5,150,31,-1,10
0.935629545280503,0.007244420273558818,144,0.8,5,1.0,0.1,-1,10,150,31,-1,10
0.9356235780103066,0.007823198667099608,145,1.0,10,0.8,0.2,20,5,200,80,-1,10
0.9355920267400887,0.008397855264139213,146,0.8,5,1.0,0.1,10,10,150,31,-1,10
0.9355775809652507,0.008485425985965536,147,0.8,5,1.0,0.2,-1,5,200,80,-1,10
0.9355003853033681,0.00816432780222599,148,0.8,10,1.0,0.2,-1,10,150,50,-1,10
0.9354994821058,0.008266693055896574,149,0.8,5,0.8,0.1,10,5,150,50,-1,10
0.9354700692650619,0.0074186192352964165,150,1.0,5,0.8,0.2,10,10,200,80,-1,10
0.9354684702895325,0.0075942918298940315,151,0.8,5,0.8,0.2,20,10,200,50,-1,10
0.935459557418115,0.008035681187047226,152,1.0,5,0.8,0.2,-1,5,200,31,-1,10
0.935455681735762,0.004136718636913058,153,0.8,10,1.0,0.2,-1,10,200,80,-1,10
0.9354382765855671,0.00691811166169676,154,1.0,10,0.8,0.2,-1,5,150,80,-1,10
0.9353658750509499,0.007309881982639882,155,0.8,10,1.0,0.1,10,10,150,50,-1,10
0.9352572943286226,0.006567654897408921,156,1.0,10,0.8,0.2,20,5,200,31,-1,10
0.9352408428799988,0.00644858152945594,157,0.8,5,1.0,0.2,20,5,200,50,-1,10
0.93523403599363,0.00874384606318982,158,1.0,5,0.8,0.2,20,5,200,50,-1,10
0.9351619644733569,0.007791175403491635,159,1.0,5,0.8,0.2,-1,5,200,50,-1,10
